name,decimal,state,year
dng,0.89,Oklahoma,1952
dni,0.59,Nevada,1990
dnk,0.98,Maryland,2008
dnl,0.34,Illinois,2000
dno,0.14,Hawaii,1994
dnq,0.44,Illinois,2007
dnr,0.27,Minnesota,2021
dnt,0.3,Maine,1973
dnv,0.08,Mississippi,1928
dnw,0.68,New Hampshire,1988
dnx,0.06,Tennessee,2017
dnz,0.22,West Virginia,1997
doc,0.63,New Hampshire,1928
dod,0.9,Georgia,1920
dof,0.94,Vermont,2012
doi,0.04,Massachusetts,2015
dok,0.92,Pennsylvania,1957
dom,0.81,Tennessee,2016
doq,0.04,Maine,1991
dor,0.63,New Jersey,1952
dou,0.43,Kentucky,1916
dox,0.91,Montana,1947
doz,0.13,Mississippi,1933
dpa,0.19,Arkansas,1915
dpf,0.81,West Virginia,2022
dpj,0.28,California,1923
dpk,0.74,Michigan,1974
dpp,0.18,Utah,2021
dpq,0.8,Maine,1909
dpv,0.67,West Virginia,1996
dpx,0.67,Virginia,2019
dqa,0.05,South Carolina,2021
dqc,0.0,California,1977
dqi,0.96,Rhode Island,2010
dqj,0.57,Maine,1986
dqk,0.08,Nebraska,1940
dql,0.98,Alabama,1971
dqm,0.93,Minnesota,1955
dqp,0.81,Oklahoma,1919
dqs,0.18,Pennsylvania,1904
dqv,0.38,Maine,1948
dqw,0.4,Arizona,1948
dqx,0.83,New York,1990
dqy,0.17,Missouri,2004
dre,0.77,Delaware,1934
drf,0.71,Idaho,1977
drg,0.45,Mississippi,1993
drk,0.66,Louisiana,1957
drm,0.73,Iowa,1980
dro,0.58,Kentucky,1976
drs,0.7,Maryland,1988
drw,0.08,Massachusetts,1907
drx,0.01,Minnesota,1974
drz,0.62,Montana,1906
dsa,0.62,West Virginia,1994
dsc,0.86,Mississippi,1948
dsd,0.46,New Mexico,1957
dsf,0.04,Montana,1911
dsj,0.41,New Jersey,1907
dsl,1.0,South Carolina,2012
dss,0.43,Wisconsin,1999
dsv,0.51,Washington,2022
dsx,0.14,California,2001
dsy,0.49,Mississippi,1994
dtd,0.48,Minnesota,1941
dtf,0.52,Missouri,1922
dth,0.7,South Carolina,1929
dto,0.44,Colorado,1926
dtt,0.01,Georgia,2010
dtu,0.55,Arkansas,1996
dty,0.08,Nebraska,1903
dua,0.36,Iowa,2013
duj,0.69,Idaho,1975
dup,0.68,Georgia,1902
dut,0.64,Texas,1919
duw,0.96,North Carolina,2017
dux,0.33,Colorado,2004
dvb,0.99,Vermont,1998
dvh,0.26,Alaska,1943
dvj,0.28,Florida,1933
dvl,0.6,North Carolina,1917
dvp,0.97,Massachusetts,1977
dvs,0.46,Hawaii,1933
dvx,0.55,Alabama,1968
dwb,0.63,Iowa,1910
dwc,0.93,North Carolina,2006
dwd,0.03,Mississippi,1912
dwe,0.25,Idaho,1914
dwf,0.07,South Dakota,1937
dwm,0.45,Wyoming,2016
dwn,0.27,Connecticut,2011
dwr,0.6,Florida,1949
dwv,0.84,Arizona,1965
dwz,0.8,Arkansas,1946
dxb,0.79,North Carolina,1997
dxg,0.97,Rhode Island,1978
dxl,0.68,Missouri,2004
dxu,0.49,Hawaii,1980
dya,0.65,Washington,1984
dyb,0.34,Hawaii,1961
dyg,0.15,Rhode Island,2010
dyj,0.83,Virginia,1953
dyk,0.35,Maryland,2023
dyl,0.16,New York,1932
dyo,0.09,Virginia,1981
dyp,0.38,Colorado,1952
dyr,0.56,North Carolina,1916
dys,0.97,Arkansas,1940
dyx,0.11,Florida,1994
dzc,1.0,Kentucky,1999
dze,0.75,Montana,1985
dzj,0.07,North Dakota,2021
dzk,0.66,South Dakota,1953
dzo,0.23,Massachusetts,1948
dzr,0.88,Missouri,1905
dzs,0.19,Arkansas,1969
dzt,0.18,North Carolina,1977
dzw,0.44,Ohio,1999
eaa,0.35,California,1974
eab,0.73,Kentucky,2007
eae,0.06,Arizona,1928
eag,0.71,Missouri,1990
eai,0.24,Oregon,1975
eaj,0.33,Oklahoma,1963
eao,0.65,New York,2015
eaq,0.64,Hawaii,1944
ear,0.61,Oklahoma,1964
eas,0.63,Kansas,1976
eau,0.29,Kansas,1985
eax,0.11,New Jersey,1983
eaz,0.98,South Dakota,1964
eba,0.02,California,1917
ebc,0.04,North Dakota,1977
ebe,0.99,Illinois,1986
ebg,0.07,Ohio,1933
ebh,0.89,California,1966
ebr,0.69,New York,1956
ebw,0.86,Michigan,1993
eca,0.25,Ohio,1959
ecc,0.85,Connecticut,1900
ecg,0.71,Illinois,1905
eci,0.78,Arkansas,1913
eck,0.4,Georgia,2017
ecl,0.48,Washington,2017
ecq,0.73,New Hampshire,1929
ecr,0.61,Iowa,1984
ecs,0.52,Massachusetts,1985
ecv,0.34,Nebraska,1993
ecw,0.61,Wyoming,1952
ecx,0.72,Nebraska,1918
ecz,0.76,Indiana,1942
edb,0.53,New Mexico,1975
edc,0.2,Massachusetts,1946
ede,0.74,Virginia,1904
edh,0.1,Nevada,1901
edj,0.58,Maine,2019
edp,0.87,Maine,1949
eds,0.38,Hawaii,1969
edz,0.65,Montana,1976
eeb,0.9,New Jersey,1949
eec,0.21,New Jersey,1950
eed,0.28,Ohio,2022
eee,0.58,New Jersey,1994
eej,0.9,Massachusetts,2015
eem,0.55,Missouri,1911
een,0.14,Georgia,2020
eeo,0.81,Virginia,1963
eer,0.58,New Hampshire,1958
eeu,0.27,Arizona,1994
eew,0.48,West Virginia,1997
efa,0.75,Texas,1957
efc,0.47,Utah,2022
efg,0.62,Connecticut,1978
efh,0.39,Missouri,1941
efk,0.13,Wisconsin,1980
efq,0.87,Kentucky,1981
efr,0.45,Maine,1955
efv,0.82,Connecticut,1954
efw,0.18,West Virginia,1955
efz,0.67,Virginia,1951
ege,0.7,Montana,1984
egk,0.1,South Carolina,1988
ego,0.99,Oregon,1912
egq,0.3,Ohio,1979
egv,0.33,Oklahoma,1979
egz,0.6,Maryland,1972
ehg,0.58,Pennsylvania,1985
ehh,0.32,Mississippi,1932
ehi,0.03,Nebraska,1908
ehk,0.93,Alaska,1916
ehm,0.72,Idaho,1911
eho,0.77,Alabama,1982
ehr,0.87,Tennessee,1953
ehu,0.16,Arkansas,1964
ehy,0.43,Nebraska,1935
eib,0.62,New Jersey,2003
eih,0.03,Tennessee,1928
eik,0.71,Mississippi,1950
eil,0.02,Kentucky,1989
ein,0.39,Connecticut,1996
eip,0.2,New York,1935
eiq,0.2,Arkansas,1934
eiv,0.93,South Dakota,1995
eiw,0.02,Arizona,1966
eja,0.81,Hawaii,1937
ejd,0.61,South Carolina,1907
ejf,0.12,Pennsylvania,1957
ejj,0.51,Kentucky,1913
ejl,0.24,Illinois,1961
ejn,0.57,Alaska,1970
ejo,0.31,Vermont,1944
ejp,0.79,Michigan,1935
ejr,0.23,Utah,1935
ejs,0.16,Oregon,1931
ejt,0.49,New Mexico,1992
ekc,0.16,Michigan,1983
ekg,0.19,Alabama,1977
eki,0.2,Oregon,2012
eko,0.31,Wyoming,1959
ekq,0.13,Alabama,2011
ekw,0.22,Hawaii,2000
ekz,0.67,North Carolina,2012
eld,0.78,Mississippi,2020
elj,0.78,New Jersey,2009
elm,0.82,Georgia,1948
eln,0.35,New York,1932
elr,0.12,Virginia,1919
els,0.85,Rhode Island,1911
elx,0.03,Kansas,1982
ely,0.39,Oklahoma,1915
elz,0.09,Pennsylvania,1969
ema,0.97,Pennsylvania,1958
emc,0.89,California,2020
emd,0.23,Illinois,1941
eme,0.41,Nevada,2014
emh,0.32,Nevada,1976
emn,0.3,California,1976
emt,0.39,Connecticut,1900
emy,0.41,Rhode Island,1995
enh,0.27,Rhode Island,1960
eni,0.64,West Virginia,2016
enj,0.91,North Carolina,2016
enm,0.99,Nevada,1958
enn,0.34,Iowa,1982
eno,0.11,Michigan,1948
enp,0.17,Utah,2015
enq,0.64,Illinois,1932
enr,0.17,Colorado,2015
ens,0.19,Delaware,1967
enu,0.99,Georgia,1955
env,0.16,New York,1963
enx,0.56,Vermont,1901
enz,0.48,Washington,2023
eoc,0.71,Louisiana,1950
eog,0.93,Tennessee,2007
eoi,0.95,New Mexico,1951
eok,0.57,Alaska,1980
eon,0.0,Tennessee,1911
eoq,0.31,Iowa,1934
eor,0.09,Missouri,1974
eoy,0.96,Colorado,1976
eoz,0.79,Pennsylvania,1992
epa,0.36,Washington,2000
epc,0.67,Illinois,1949
epg,0.45,Nevada,1969
epi,0.13,Tennessee,1992
epk,0.78,New York,2006
epm,0.4,Hawaii,1936
epv,0.86,Indiana,1942
epx,0.32,Kansas,1937
epy,0.58,Louisiana,1967
eqa,0.96,Michigan,1926
eqc,0.65,Arkansas,2011
eqd,0.06,Florida,2008
eqe,0.08,Idaho,1913
eqf,0.14,Maryland,1942
eqh,0.09,Nevada,1991
eqi,0.03,Texas,1910
eqj,0.53,Colorado,1952
eql,0.96,New Mexico,1978
eqm,0.04,Hawaii,2006
eqn,0.44,California,1940
eqq,0.77,Missouri,1991
eqr,0.46,Pennsylvania,1914
eqw,0.22,Vermont,1903
eqy,0.81,Vermont,1994
erc,0.02,Massachusetts,1954
erd,0.51,Kansas,1971
ere,0.1,Massachusetts,1976
erf,0.63,Indiana,1918
erg,0.39,North Carolina,1997
erh,0.31,Maryland,1973
eri,0.97,Idaho,1964
ero,0.03,North Dakota,1939
err,0.81,Louisiana,2009
erw,0.03,New York,1926
erx,0.67,Wisconsin,1921
ery,0.01,Wisconsin,1999
esa,0.51,Colorado,1972
esb,0.11,Utah,1956
esc,0.73,Maryland,1974
esd,0.65,Maine,2017
eso,0.49,Alaska,1931
esq,0.03,Montana,1989
esr,0.63,Wisconsin,1962
ess,0.84,Louisiana,2022
esu,0.83,Louisiana,1909
esz,0.06,New Hampshire,1978
etc,0.03,Connecticut,1984
etd,0.86,Idaho,2006
eth,0.58,Oregon,1908
etj,0.31,Nebraska,1961
eto,0.48,California,1988
etp,0.8,New Mexico,1911
etr,0.34,Delaware,1920
ety,0.2,South Dakota,1965
eua,0.67,Maine,1997
eue,0.59,Indiana,1957
eum,0.81,Texas,1929
eup,0.39,Virginia,1991
euq,0.25,Louisiana,1938
euy,1.0,Vermont,1920
evc,0.01,Maine,1968
evd,0.32,West Virginia,1993
evk,0.3,New York,1927
evl,0.68,Kentucky,1906
evr,0.32,West Virginia,1913
evs,1.0,Idaho,1988
evt,0.7,Florida,1961
evv,0.36,Illinois,1963
evy,0.13,Maryland,1936
ewb,0.06,North Carolina,2000
ewd,0.38,Texas,1901
ewe,0.64,Pennsylvania,1923
ewf,0.87,Louisiana,1962
ewj,0.94,Pennsylvania,1902
ewn,0.1,New Jersey,1984
ews,0.95,Louisiana,1933
ewu,0.18,Missouri,1981
ewv,0.54,New Mexico,1932
exd,0.08,Ohio,1913
exf,0.6,Connecticut,1960
exk,0.12,Kentucky,2000
exl,0.2,Iowa,1926
exm,0.97,South Dakota,1915
exo,0.35,New Jersey,1976
exr,0.22,New Hampshire,1926
exw,0.08,Washington,1961
eyc,0.12,New Mexico,1972
eyg,0.38,Nevada,1926
eyi,0.14,Iowa,1924
eyj,0.4,Georgia,1910
eyk,0.38,South Dakota,1978
eyn,0.24,Georgia,1944
eyo,0.21,Nevada,1956
eyq,0.75,California,2005
eyw,0.01,Ohio,2021
eza,0.15,Tennessee,2014
ezb,0.8,Oklahoma,1975
ezd,0.61,Arizona,1938
eze,0.22,Montana,1977
ezh,0.91,Arizona,1907
ezi,0.43,Massachusetts,1908
ezk,0.88,Indiana,1999
ezl,0.73,Massachusetts,1998
ezn,0.36,Missouri,1982
ezt,0.01,Hawaii,2003
fab,0.89,Maryland,1945
fai,0.57,Kentucky,1993
fam,0.11,Texas,1960
faq,0.08,North Carolina,1941
fau,0.46,Kentucky,1983
fav,0.42,Michigan,1968
fax,0.0,North Carolina,1919
faz,0.44,Arizona,1939
fbf,0.82,Ohio,1950
fbg,0.05,New Hampshire,2008
fbh,0.51,Kansas,1958
fbk,0.31,Indiana,2004
fbl,0.95,New Jersey,1930
fbp,0.18,Maryland,1928
fbq,0.51,Illinois,1923
fbv,0.79,Illinois,1974
fca,0.92,Tennessee,2016
fcb,0.09,New Jersey,1914
fcd,0.36,North Carolina,1997
fce,0.61,West Virginia,1994
fcg,0.17,Iowa,1994
fcl,0.88,Oregon,1990
fcr,0.75,Arkansas,1999
fcy,0.99,West Virginia,2011
fdb,0.83,Wisconsin,1987
fdd,0.21,Maine,1909
fdf,0.64,Missouri,2006
fdg,0.48,Hawaii,1935
fdh,0.53,Michigan,2017
fdn,0.54,Wyoming,1940
fdr,0.83,Oregon,1903
fdt,0.6,West Virginia,2013
fdu,0.86,Rhode Island,1982
fdx,0.66,Nebraska,1919
fdy,0.27,Iowa,1984
fef,0.17,Arkansas,1914
feg,0.21,Indiana,1996
fem,0.66,New York,1931
fen,0.95,New Hampshire,1975
fep,0.27,Arkansas,1994
feq,0.5,Alabama,1983
fes,0.67,South Dakota,1934
feu,0.45,Minnesota,1955
fez,0.25,Hawaii,2014
ffa,0.32,Pennsylvania,1978
ffh,0.39,Montana,2023
ffk,0.44,Utah,1915
ffp,0.19,Maine,1993
ffr,0.88,Colorado,1986
ffs,0.76,Connecticut,1997
ffx,0.22,New Mexico,1987
ffy,0.66,Washington,1938
fgf,0.16,Colorado,1964
fgg,0.33,Virginia,1976
fgk,0.11,Massachusetts,1979
fgm,0.59,Maryland,1984
fgo,0.52,New Jersey,1921
fgp,0.53,Missouri,1908
fgq,0.37,Arizona,1986
fgr,0.16,Arizona,2022
fgs,0.15,Maryland,1977
fgt,0.95,Arkansas,1940
fha,0.06,Arizona,2019
fhb,0.11,Florida,1905
fhc,0.83,New York,1996
fhe,0.89,West Virginia,1925
fhf,0.65,Massachusetts,1975
fhg,0.02,Hawaii,1931
fhi,0.92,Kentucky,1999
fhl,0.1,Vermont,1937
fhq,0.19,Michigan,1925
fhv,0.08,West Virginia,1920
fic,0.2,South Dakota,1911
fif,0.77,New Mexico,1962
fii,0.65,Vermont,1935
fil,0.66,Georgia,1950
fip,0.34,South Carolina,1944
fix,0.74,Wisconsin,1978
fiz,0.22,Indiana,1964
fja,0.69,New Hampshire,1961
fjj,0.7,New Hampshire,2009
fjk,0.93,New Jersey,1966
fjo,0.96,North Dakota,1996
fjr,0.28,New York,1929
fju,0.84,Virginia,2018
fjy,0.81,Oregon,2009
fjz,0.13,Tennessee,1997
fke,0.27,Minnesota,1920
fkh,0.82,Missouri,1927
fkj,0.81,New Jersey,1900
fkk,0.16,Washington,1975
fkn,0.71,Rhode Island,1982
fko,0.69,Pennsylvania,1964
fkw,0.42,Utah,1927
flb,0.01,Connecticut,1935
fle,0.04,Kansas,1932
flj,0.2,North Carolina,1982
flk,0.12,Virginia,1959
flo,0.98,Maryland,2006
flp,0.63,Vermont,2019
flr,0.15,Arizona,1995
fls,0.55,Kentucky,1933
flt,0.08,Delaware,2021
flv,0.33,Ohio,2014
flw,0.9,Oklahoma,1968
flx,0.85,Virginia,2017
flz,0.07,Nebraska,1932
fmc,0.86,Ohio,1926
fmf,0.73,New York,2006
fmi,0.77,Virginia,1998
fmj,0.66,Alabama,1911
fmm,0.79,Tennessee,1947
fmq,0.57,Vermont,1957
fmt,0.14,Minnesota,1964
fmu,0.88,Missouri,1962
fmx,0.23,California,1957
fmy,0.06,Ohio,2023
fna,0.7,New Jersey,1911
fnb,0.06,Montana,2017
fnd,0.27,Connecticut,2000
fnh,0.06,Kansas,1977
fnk,0.9,Massachusetts,1918
fnm,0.84,Tennessee,1965
fnp,0.02,Delaware,1992
fnr,0.03,California,1910
fns,0.74,Kansas,2005
fnu,0.08,Virginia,1913
fny,0.92,New York,1937
fnz,0.97,Pennsylvania,1920
fob,0.87,Virginia,1991
foc,0.68,Maryland,1904
fod,0.21,New Jersey,1936
fog,0.64,Mississippi,1976
foj,0.02,Iowa,1973
fok,0.43,West Virginia,1989
fol,0.46,Alabama,1921
foo,1.0,New Hampshire,1972
fov,0.32,Vermont,1966
foy,0.06,Connecticut,2016
fpa,0.69,New Mexico,1963
fpi,0.8,Delaware,2018
fps,0.29,Hawaii,2006
fpw,0.57,Tennessee,2012
fpx,0.28,Alaska,1957
fpz,0.48,North Dakota,2021
fqa,0.33,New Mexico,1990
fqf,0.39,Connecticut,1922
fqh,0.01,Delaware,1922
fqi,0.85,Oklahoma,1913
fqk,0.89,Pennsylvania,2018
fqn,0.13,Texas,1928
fqs,0.27,Delaware,1978
fqu,0.09,Kentucky,1943
fqw,1.0,Arizona,1900
fqy,0.57,New Hampshire,1940
fqz,0.87,Alabama,1936
frb,0.08,Connecticut,1952
frc,0.77,Nevada,2002
frg,0.28,Texas,1965
frh,0.87,Missouri,2001
fri,0.95,Maine,1992
frm,0.03,New York,1900
fro,0.43,Arizona,1922
frp,0.61,Virginia,1983
frq,0.49,Virginia,1910
frr,0.39,Rhode Island,1933
frw,0.23,Wyoming,1937
frx,0.23,Kentucky,1968
frz,0.72,Arizona,1996
fsb,0.38,Maryland,1957
fsc,0.87,Ohio,2004
fse,0.33,Idaho,1944
fsf,0.28,Kentucky,2021
fsl,0.11,Ohio,1979
fsp,0.96,Kentucky,1973
fst,0.15,Illinois,1935
ftb,0.36,New Mexico,2001
ftf,0.99,Colorado,1959
fth,0.09,New Jersey,1919
ftm,0.54,Georgia,1900
ftq,0.88,South Dakota,1960
ftu,1.0,Missouri,2004
fua,0.02,South Dakota,2007
fub,0.09,Colorado,1932
fuc,0.14,Connecticut,1915
fud,0.17,Mississippi,1988
fue,0.82,Mississippi,1963
fuf,0.05,Oklahoma,1939
fun,0.62,New Mexico,1992
fup,0.07,New York,1907
fur,0.04,Indiana,1900
fus,0.22,Indiana,1950
fuu,0.82,Connecticut,1930
fuv,0.7,Indiana,1947
fuw,0.83,Alabama,2012
fux,0.09,New Hampshire,1965
fvd,0.14,Alaska,1904
fvg,0.66,Kentucky,2022
fvj,0.07,Mississippi,1966
fvo,0.68,Illinois,1918
fvp,0.59,Connecticut,1981
fvs,0.79,Washington,1977
fvt,0.56,California,1969
fvu,0.11,Connecticut,1982
fvv,0.34,Virginia,1937
fvy,0.35,Missouri,1983
fvz,0.81,Ohio,1902
fwb,0.56,Oklahoma,1965
fwe,0.12,Arkansas,1902
fwf,0.38,Wyoming,1931
fwg,0.85,Tennessee,1968
fwh,0.76,Indiana,1972
fwj,0.85,Wisconsin,2011
fwo,0.86,Rhode Island,1903
fwq,0.94,South Carolina,1915
fws,0.14,Massachusetts,1907
fwz,0.74,Oklahoma,1924
fxa,0.76,Mississippi,1904
fxi,0.03,Montana,1972
fxl,0.13,New Mexico,1977
fxm,0.85,Ohio,1998
fxn,0.03,New Hampshire,1944
fxq,0.19,Nevada,2003
fxs,0.01,Idaho,1998
fxt,0.32,New York,2017
fxv,0.06,Virginia,1920
fxy,0.29,Arkansas,1938
fxz,0.49,New Mexico,2004
fyb,0.36,New Jersey,1916
fyc,0.67,New Mexico,1901
fyd,0.35,Florida,1956
fye,0.74,Rhode Island,1962
fyf,0.3,Mississippi,1960
fyh,0.12,Missouri,2000
fyk,0.15,Virginia,1916
fyr,0.34,Arizona,1989
fyw,0.77,Georgia,1990
fyx,0.35,Iowa,1940
fyz,0.77,Nevada,1916
fzf,0.2,Alaska,1963
fzj,0.5,Nevada,1907
fzk,0.07,New Hampshire,1924
fzl,0.77,Nebraska,2003
fzs,1.0,North Dakota,1917
fzt,0.41,Rhode Island,1939
fzv,0.4,Wisconsin,1909
fzx,0.07,Maryland,1921
fzy,0.84,Idaho,1947
gah,0.59,Utah,1944
gai,0.64,Montana,2005
gal,0.15,Ohio,1919
gap,0.22,Minnesota,1967
gar,0.34,Oregon,1991
gax,0.21,Virginia,1922
gay,0.69,Tennessee,1990
gaz,0.74,Georgia,2007
gba,0.64,Colorado,1955
gbg,0.0,Alabama,1910
gbm,0.7,Georgia,1972
gbn,0.82,Washington,1913
gbs,0.98,Mississippi,1909
gbu,0.63,Hawaii,1909
gbv,0.45,Wyoming,1938
gcc,0.03,Wisconsin,2005
gce,0.62,Texas,1915
gch,0.85,Kentucky,1925
gci,0.91,Texas,1960
gcj,0.37,Massachusetts,1936
gck,0.93,Nebraska,1959
gcm,0.34,Massachusetts,1921
gcn,0.09,Oklahoma,1988
gcq,0.86,Alabama,2007
gcr,0.9,North Dakota,2017
gcu,0.63,Utah,1981
gcw,0.21,Delaware,2005
gcy,0.83,Louisiana,1964
gdb,0.28,Kansas,1954
gdf,0.86,Maryland,2004
gdg,0.22,Louisiana,2007
gdh,0.33,Alaska,2000
gdj,0.38,Wyoming,1983
gdk,0.04,Montana,1946
gdl,0.35,Connecticut,2021
gdm,0.26,Indiana,1961
gdp,0.84,Illinois,1988
gdv,0.98,Indiana,1957
gdx,0.01,Minnesota,1999
gdy,0.91,Nebraska,1934
gdz,0.29,Utah,1986
gec,0.57,Wisconsin,1924
ged,0.27,New York,1974
gee,0.74,Alaska,1912
geg,0.7,Wyoming,1914
geh,0.1,New Hampshire,1981
gei,0.24,South Carolina,1937
gek,0.97,Indiana,1945
gen,0.04,Alaska,2021
gev,0.34,West Virginia,1937
gey,0.94,Hawaii,1956
gfa,0.57,Arizona,1925
gfe,0.36,Iowa,1908
gfg,0.39,Delaware,1984
gfl,0.42,Indiana,1997
gfn,0.76,Iowa,1950
gfo,0.09,Utah,1944
gfs,0.9,Montana,1937
gft,0.18,Maine,1950
gfv,0.63,Rhode Island,1921
gfw,0.33,Georgia,2012
gfz,0.9,Delaware,1984
ggb,0.59,California,1935
ggc,0.15,South Carolina,2009
ggf,0.92,Delaware,1990
ggh,0.87,Florida,1937
ggi,0.16,Connecticut,1977
ggj,0.78,Louisiana,1930
ggl,0.31,Florida,2018
ggn,0.7,Kentucky,1947
ggp,0.79,Alabama,1959
ggq,0.39,North Carolina,2014
ggt,0.25,Hawaii,1980
ggu,0.82,Louisiana,2012
ggy,0.96,New Hampshire,2018
gha,0.16,Texas,1922
ghf,0.79,Wyoming,1969
ghi,0.9,Massachusetts,1975
ghn,0.82,Massachusetts,1988
gho,0.37,Kentucky,1929
ghp,0.24,New Jersey,1993
ghz,0.4,Mississippi,2003
gib,0.48,South Carolina,1920
gic,0.67,Tennessee,2022
gie,0.15,Massachusetts,1983
gig,0.18,Kansas,1926
gij,0.66,West Virginia,1902
gik,0.66,Kansas,1907
gir,0.54,New Mexico,2020
git,0.77,Minnesota,2020
giu,0.25,Massachusetts,2013
gjd,0.08,South Carolina,1967
gjf,0.29,Virginia,2021
gjo,0.82,Iowa,1972
gjt,0.85,New Hampshire,2011
gju,0.98,Rhode Island,1950
gjv,0.15,Arkansas,1909
gjw,0.72,Rhode Island,1915
gjy,0.5,Wisconsin,2008
gjz,0.83,Tennessee,1960
gka,0.46,Montana,2016
gkg,0.83,Kansas,1982
gki,0.16,Minnesota,1937
gkj,0.45,Massachusetts,2023
gkk,0.75,Texas,1926
gkl,0.0,Louisiana,2008
gko,0.93,New York,1990
gkq,0.03,Oregon,1903
gkr,0.09,Ohio,2018
gkt,0.62,Alaska,1931
gkv,0.05,Maryland,1980
gla,0.64,Maine,1938
glb,0.89,Maine,2000
glc,0.86,Kansas,1961
gld,0.25,Pennsylvania,1940
gle,0.05,Arizona,1931
glh,0.01,Illinois,1938
glj,0.4,North Carolina,1914
glk,0.81,Vermont,1914
gll,0.38,Alabama,2017
gln,0.48,Vermont,1918
glt,0.42,Rhode Island,1980
glz,0.14,Maryland,2017
gmc,0.07,Tennessee,1926
gmf,0.73,New Hampshire,1952
gmi,0.58,Hawaii,2020
gmn,0.57,Colorado,2012
gmo,0.17,Minnesota,1951
gmu,0.06,Massachusetts,1931
gmv,0.41,Oregon,1925
gnd,0.64,Washington,1966
gne,0.87,Wisconsin,1999
gno,0.84,Tennessee,1940
gnv,0.81,North Dakota,1909
gnw,0.59,Rhode Island,2014
gny,0.54,Wyoming,1982
goa,0.3,Nebraska,1901
god,0.89,Oklahoma,1929
gof,0.32,Maryland,2022
goj,0.57,Mississippi,1964
gol,0.57,Virginia,1959
goo,0.13,Wyoming,1974
gop,0.01,Kentucky,1940
gos,0.34,New Hampshire,1902
gpc,0.12,Kansas,1918
gpg,0.81,Vermont,1920
gph,0.18,Texas,1950
gpn,0.81,Nevada,1905
gpp,0.57,Nebraska,2015
gpu,0.96,Nebraska,2021
gpx,0.19,Iowa,2002
gqa,0.66,Illinois,1978
gqe,0.67,Pennsylvania,1936
gqf,0.16,California,1936
gqg,0.0,Alaska,1951
gqj,0.24,Minnesota,1989
gqk,0.44,Louisiana,1914
gqn,0.28,New Jersey,1934
gqr,0.72,Mississippi,2000
gqv,0.12,Virginia,1935
gqx,0.54,Minnesota,1936
gqz,0.19,Colorado,2022
gra,0.45,Louisiana,1928
grf,0.44,Virginia,1948
grt,0.54,Oregon,1906
gru,0.79,Louisiana,1946
grv,1.0,Illinois,2022
grx,0.2,Oregon,1985
gry,0.89,Pennsylvania,1970
gsa,0.45,Washington,1986
gsb,0.87,Rhode Island,2009
gsc,0.34,Hawaii,1932
gsk,0.81,Georgia,1970
gsn,0.27,Nebraska,1940
gsr,0.34,New Jersey,1944
gss,0.97,California,1962
gtn,0.06,Mississippi,1993
gto,0.24,Rhode Island,2014
gtp,0.59,Delaware,1978
gtr,0.61,Oklahoma,2012
gtu,0.98,Pennsylvania,1918
gtv,0.14,Virginia,1966
gub,0.07,West Virginia,1996
guf,0.59,Wisconsin,1945
gup,0.5,Nebraska,2011
guq,0.64,Maine,1922
guu,0.16,Connecticut,1936
guw,0.1,Florida,2011
gvc,0.74,Louisiana,1904
gvg,0.64,Wisconsin,1913
gvh,0.94,New Hampshire,1914
gvi,0.48,Illinois,1918
gvu,0.31,Wisconsin,1974
gvv,0.11,Pennsylvania,1960
gvy,0.42,North Dakota,2008
gwd,0.76,California,1906
gwk,0.14,Ohio,1930
gwl,0.54,Illinois,1984
gwm,0.77,Nevada,2003
gwq,0.6,Mississippi,1984
gws,0.63,Kentucky,1974
gwx,0.61,Illinois,1966
gwy,0.27,Wisconsin,1925
gwz,0.14,Pennsylvania,1954
gxa,0.91,Illinois,2020
gxd,0.76,New Hampshire,1912
gxg,0.6,Mississippi,1946
gxk,0.7,Alabama,1915
gxm,0.6,Mississippi,1900
gxo,0.05,Rhode Island,1941
gxr,0.27,Massachusetts,1931
gxt,0.12,Maryland,1992
gxu,0.6,Florida,2019
gxx,0.94,North Carolina,1926
gxy,0.24,Rhode Island,1930
gyc,0.22,Iowa,1973
gyg,0.22,New Hampshire,1989
gyj,0.75,West Virginia,1960
gym,0.19,Virginia,1987
gyq,0.22,Arkansas,1995
gyr,0.84,Kentucky,2015
gyt,0.61,New Mexico,1913
gyw,0.42,North Carolina,1988
gyz,0.06,South Dakota,1989
gzb,0.09,Wyoming,2010
gzg,0.73,West Virginia,2013
gzk,0.21,Wyoming,1970
gzm,0.9,Massachusetts,2005
gzp,0.38,Iowa,1945
gzq,0.7,New Mexico,1925
gzs,0.98,New Mexico,1927
gzt,0.95,Idaho,1955
gzu,0.93,Kansas,1956
gzz,0.27,Nevada,1996
had,0.97,Arizona,1909
hae,0.27,Montana,1947
hag,0.82,Pennsylvania,1966
hah,0.44,Utah,1942
hai,0.43,Montana,1949
haj,0.38,Wisconsin,1939
hal,0.72,Minnesota,1923
ham,0.48,Kentucky,1950
han,0.67,Washington,1994
hao,0.4,Massachusetts,2021
has,0.81,North Dakota,1901
hat,0.83,Maine,1920
hau,0.01,North Dakota,2004
hay,0.87,Wyoming,1918
hba,0.62,Minnesota,1964
hbb,0.92,South Dakota,1973
hbm,0.83,Utah,1913
hbq,0.8,Arkansas,1993
hbs,0.15,Rhode Island,1900
hbu,0.37,Ohio,1993
hbz,0.85,Iowa,1975
hca,0.45,Alaska,1927
hcb,0.38,Ohio,1967
hce,0.48,Arizona,1951
