Letter,Number,Color
evf,23,Turquoise
evg,33,Turquoise
evh,44,Magenta
evi,87,Cyan
evj,87,Turquoise
evk,60,Black
evl,58,Brown
evm,66,Pink
evn,66,Purple
evo,5,Green
evp,24,Green
evq,99,Lavender
evr,15,Red
evs,27,White
evt,6,Yellow
evu,85,Blue
evv,71,Cyan
evw,79,Cyan
evx,12,Turquoise
evy,2,Pink
evz,27,Turquoise
ewa,51,Red
ewb,1,Brown
ewc,27,Turquoise
ewd,84,Blue
ewe,26,Magenta
ewf,60,Brown
ewg,9,Gray
ewh,12,Magenta
ewi,44,Pink
ewj,87,Cyan
ewk,75,Gray
ewl,81,Purple
ewm,63,Turquoise
ewn,56,Magenta
ewo,21,Cyan
ewp,83,White
ewq,50,Brown
ewr,59,Purple
ews,97,Black
ewt,92,Blue
ewu,46,Purple
ewv,39,Turquoise
eww,89,White
ewx,63,Turquoise
ewy,100,Turquoise
ewz,91,Black
exa,0,Blue
exb,52,Pink
exc,30,Blue
exd,37,Lavender
exe,98,Lavender
exf,75,Brown
exg,86,Turquoise
exh,7,Gray
exi,100,Black
exj,34,Black
exk,25,Black
exl,64,White
exm,62,Lavender
exn,70,Lavender
exo,100,Magenta
exp,76,Cyan
exq,65,Gray
exr,31,Black
exs,62,Brown
ext,89,Cyan
exu,13,White
exv,3,Turquoise
exw,8,Blue
exx,98,Magenta
exy,64,Cyan
exz,100,Lavender
eya,51,Cyan
eyb,12,White
eyc,97,White
eyd,80,Cyan
eye,44,White
eyf,69,Magenta
eyg,85,Black
eyh,12,Orange
eyi,95,Lavender
eyj,11,Turquoise
eyk,5,Orange
eyl,33,Black
eym,28,Pink
eyn,63,Green
eyo,99,Cyan
eyp,6,Black
eyq,25,Red
eyr,11,Brown
eys,48,Purple
eyt,37,Pink
eyu,92,Green
eyv,16,White
eyw,65,Green
eyx,12,Magenta
eyy,12,Magenta
eyz,41,Purple
eza,87,Gray
ezb,66,Orange
ezc,52,Orange
ezd,8,Magenta
eze,53,Red
ezf,93,Black
ezg,75,Gray
ezh,54,Pink
ezi,46,Black
ezj,72,Red
ezk,40,Blue
ezl,10,Purple
ezm,71,Green
ezn,33,Pink
ezo,60,Cyan
ezp,47,White
ezq,96,Black
ezr,7,White
ezs,7,Green
ezt,77,Gray
ezu,21,Cyan
ezv,26,Black
ezw,13,Cyan
ezx,25,Yellow
ezy,39,Turquoise
ezz,62,Pink
faa,41,Blue
fab,72,Red
fac,12,Magenta
fad,61,Cyan
fae,19,Magenta
faf,46,Purple
fag,66,Turquoise
fah,20,Red
fai,62,Magenta
faj,28,Black
fak,39,Orange
fal,81,Green
fam,15,Lavender
fan,60,Brown
fao,4,Gray
fap,50,Blue
faq,70,Magenta
far,62,Purple
fas,88,Yellow
fat,30,Orange
fau,51,Black
fav,76,Turquoise
faw,80,Black
fax,81,Magenta
fay,2,Green
faz,86,Lavender
fba,82,Brown
fbb,15,Yellow
fbc,58,Blue
fbd,84,Gray
fbe,13,Purple
fbf,17,White
fbg,32,Lavender
fbh,58,Lavender
fbi,32,Lavender
fbj,57,Orange
fbk,84,Red
fbl,91,Red
fbm,54,Yellow
fbn,13,Pink
fbo,18,Turquoise
fbp,23,Brown
fbq,93,Yellow
fbr,82,Pink
fbs,20,Turquoise
fbt,19,Pink
fbu,13,Brown
fbv,55,Cyan
fbw,100,Brown
fbx,85,White
fby,86,Brown
fbz,74,Orange
fca,65,Purple
fcb,33,Turquoise
fcc,30,Turquoise
fcd,46,Pink
fce,95,Gray
fcf,63,Orange
fcg,18,Brown
fch,27,Magenta
fci,54,Cyan
fcj,30,Black
fck,50,Blue
fcl,64,White
fcm,55,Green
fcn,98,Purple
fco,7,Turquoise
fcp,37,Yellow
fcq,33,Blue
fcr,83,Purple
fcs,63,Gray
fct,97,Yellow
fcu,75,Pink
fcv,42,Lavender
fcw,85,Turquoise
fcx,59,Blue
fcy,21,Blue
fcz,66,Turquoise
fda,29,Black
fdb,32,Pink
fdc,91,Lavender
fdd,68,Blue
fde,89,Green
fdf,90,Orange
fdg,84,Green
fdh,21,Purple
fdi,54,Orange
fdj,85,Black
fdk,42,Yellow
fdl,76,Magenta
fdm,19,Pink
fdn,90,Pink
fdo,96,Magenta
fdp,63,Green
fdq,8,Gray
fdr,57,Lavender
fds,3,Brown
fdt,41,Orange
fdu,20,Lavender
fdv,84,Purple
fdw,73,Lavender
fdx,65,Yellow
fdy,67,Yellow
fdz,37,Red
fea,35,Blue
feb,52,Yellow
fec,87,Purple
fed,81,Lavender
fee,26,Black
fef,25,White
feg,96,Lavender
feh,92,Green
fei,40,Purple
fej,20,Cyan
fek,66,Brown
fel,53,Black
fem,31,Lavender
fen,69,Lavender
feo,91,Brown
fep,18,Cyan
feq,94,Yellow
fer,85,Purple
fes,14,Turquoise
fet,12,Red
feu,5,Turquoise
fev,58,Gray
few,4,Cyan
fex,31,Magenta
fey,79,White
fez,42,Orange
ffa,52,Green
ffb,32,Pink
ffc,28,Purple
ffd,49,Cyan
ffe,52,Blue
fff,78,Turquoise
ffg,70,Pink
ffh,77,Turquoise
ffi,19,Cyan
ffj,80,Brown
ffk,95,Lavender
ffl,100,Blue
ffm,2,Blue
ffn,99,Purple
ffo,78,Yellow
ffp,75,Pink
ffq,80,Purple
ffr,10,Orange
ffs,30,Brown
fft,2,White
ffu,9,Red
ffv,96,Pink
ffw,75,Yellow
ffx,100,Magenta
ffy,49,Yellow
ffz,45,White
fga,18,Green
fgb,32,Black
fgc,39,Brown
fgd,99,Orange
fge,82,Yellow
fgf,46,Blue
fgg,84,Yellow
fgh,34,Brown
fgi,50,Yellow
fgj,96,Cyan
fgk,1,Cyan
fgl,32,Brown
fgm,82,Cyan
fgn,99,Green
fgo,95,Gray
fgp,37,White
fgq,83,Yellow
fgr,53,Purple
fgs,26,Orange
fgt,66,Purple
fgu,5,Lavender
fgv,75,Blue
fgw,16,Brown
fgx,23,Turquoise
fgy,23,Magenta
fgz,43,Purple
fha,61,Orange
fhb,69,Magenta
fhc,82,Orange
fhd,48,Red
fhe,41,Lavender
fhf,80,Magenta
fhg,32,Blue
fhh,74,Purple
fhi,38,Black
fhj,15,Purple
fhk,35,White
fhl,85,Green
fhm,15,Lavender
fhn,82,Purple
fho,12,Blue
fhp,35,Cyan
fhq,7,White
fhr,61,Magenta
fhs,38,Lavender
fht,51,Purple
fhu,48,Green
fhv,13,White
fhw,82,Gray
fhx,59,Black
fhy,29,Pink
fhz,38,Blue
fia,21,Red
fib,64,Magenta
fic,16,Red
fid,100,Green
fie,31,Green
fif,16,Gray
fig,37,Brown
fih,73,Purple
fii,33,Orange
fij,64,Blue
fik,68,Yellow
fil,11,Yellow
fim,22,Black
fin,59,Purple
fio,73,Blue
fip,16,Yellow
fiq,81,Pink
fir,14,Orange
fis,22,Green
fit,48,Turquoise
fiu,6,Cyan
fiv,14,Yellow
fiw,66,White
fix,49,Green
fiy,35,Purple
fiz,66,Turquoise
fja,61,Turquoise
fjb,100,Black
fjc,22,White
fjd,68,Green
fje,43,Black
fjf,51,Red
fjg,19,Turquoise
fjh,17,Blue
fji,45,Red
fjj,47,Lavender
fjk,70,Lavender
fjl,17,Pink
fjm,24,Lavender
fjn,98,Cyan
fjo,3,Green
fjp,14,Gray
fjq,8,Yellow
fjr,28,Lavender
fjs,56,Purple
fjt,44,Pink
fju,100,Green
fjv,17,White
fjw,72,Brown
fjx,17,Purple
fjy,4,Turquoise
fjz,2,Turquoise
fka,53,Cyan
fkb,23,White
fkc,17,Purple
fkd,48,Lavender
fke,89,Yellow
fkf,22,White
fkg,3,Magenta
fkh,80,Yellow
fki,89,Black
fkj,89,Yellow
fkk,12,Brown
fkl,88,Pink
fkm,39,Lavender
fkn,48,Red
fko,94,Orange
fkp,58,Blue
fkq,86,Cyan
fkr,72,Orange
fks,28,Lavender
fkt,66,Purple
fku,82,Purple
fkv,0,Turquoise
fkw,61,Brown
fkx,2,Blue
fky,0,Yellow
fkz,53,Yellow
fla,11,Purple
flb,54,Cyan
flc,57,Orange
fld,92,White
fle,97,Cyan
flf,55,Blue
flg,15,Gray
flh,93,Pink
fli,68,Blue
flj,74,Purple
flk,9,Green
fll,56,Purple
flm,62,Yellow
fln,50,Black
flo,62,Green
flp,23,Gray
flq,93,Magenta
flr,85,Lavender
fls,1,Black
flt,59,Magenta
flu,0,White
flv,35,Red
flw,69,Gray
flx,56,Magenta
fly,47,Pink
flz,84,Orange
fma,13,Turquoise
fmb,99,Turquoise
fmc,64,Pink
fmd,70,Orange
fme,38,Orange
fmf,47,Turquoise
fmg,57,Orange
fmh,25,Red
fmi,42,Magenta
fmj,10,Cyan
fmk,96,Gray
fml,63,Yellow
fmm,95,Turquoise
fmn,29,Red
fmo,13,Yellow
fmp,48,Purple
fmq,20,Red
fmr,5,Purple
fms,21,Orange
fmt,93,Orange
fmu,10,Red
fmv,46,Blue
fmw,84,Blue
fmx,53,Cyan
fmy,22,Purple
fmz,44,Brown
fna,90,Green
fnb,90,Cyan
fnc,50,Pink
fnd,98,Pink
fne,61,Black
fnf,27,Cyan
fng,64,Black
fnh,76,Purple
fni,44,Red
fnj,94,Yellow
fnk,61,Red
fnl,24,Purple
fnm,23,Lavender
fnn,98,Yellow
fno,54,White
fnp,21,Green
fnq,14,Orange
fnr,96,Yellow
fns,65,Brown
fnt,21,Lavender
fnu,8,Lavender
fnv,92,Red
fnw,20,Red
fnx,81,Magenta
fny,54,Red
fnz,24,White
foa,76,Pink
fob,70,White
foc,53,Black
fod,36,Black
foe,40,White
fof,98,Yellow
fog,34,Cyan
foh,53,Green
foi,21,Magenta
foj,33,Blue
fok,75,Brown
fol,30,Black
fom,74,Purple
fon,66,White
foo,82,Lavender
fop,79,Brown
foq,71,Orange
for,37,Blue
fos,49,Blue
fot,89,Pink
fou,36,Yellow
fov,16,Yellow
fow,2,Lavender
fox,14,Green
foy,72,Cyan
foz,87,Turquoise
fpa,96,Green
fpb,84,Yellow
fpc,17,Orange
fpd,11,Turquoise
fpe,30,Gray
fpf,15,Turquoise
fpg,9,Brown
fph,71,Lavender
fpi,100,Blue
fpj,41,Cyan
fpk,6,Cyan
fpl,83,Red
fpm,2,White
fpn,59,Orange
fpo,76,Turquoise
fpp,5,Orange
fpq,27,Purple
fpr,27,Green
fps,70,Black
fpt,37,Orange
fpu,16,Cyan
fpv,11,Gray
fpw,87,Lavender
fpx,82,Orange
fpy,76,Magenta
fpz,23,Green
fqa,88,Blue
fqb,55,Black
fqc,91,Purple
fqd,88,Magenta
fqe,95,Purple
fqf,52,Black
fqg,85,Brown
fqh,21,Pink
fqi,64,Magenta
fqj,41,White
fqk,5,Gray
fql,98,Brown
fqm,10,White
fqn,84,Red
fqo,17,Magenta
fqp,47,White
fqq,57,Turquoise
fqr,9,Yellow
fqs,24,Black
fqt,58,Orange
fqu,82,White
fqv,66,White
fqw,32,Gray
fqx,24,Lavender
fqy,99,Yellow
fqz,18,Blue
fra,22,Cyan
frb,85,White
frc,75,Brown
frd,97,White
fre,48,Lavender
frf,71,Black
frg,19,Black
frh,21,Brown
fri,96,Gray
frj,83,Black
frk,88,Red
frl,49,Purple
frm,95,Purple
frn,74,Purple
fro,29,White
frp,45,Turquoise
frq,63,Red
frr,11,Purple
frs,18,Orange
frt,95,Orange
fru,37,Purple
frv,72,Turquoise
frw,80,White
frx,87,Pink
fry,76,Gray
frz,47,Lavender
fsa,17,Red
fsb,34,Turquoise
fsc,26,Red
fsd,89,Turquoise
fse,16,Red
fsf,87,Brown
fsg,83,Purple
fsh,61,Purple
fsi,100,White
fsj,84,Cyan
fsk,46,Red
fsl,0,Blue
fsm,70,Green
fsn,62,Yellow
fso,17,Yellow
fsp,72,Turquoise
fsq,60,White
fsr,25,Orange
fss,42,Pink
fst,31,Purple
fsu,71,Gray
fsv,61,Red
fsw,32,Lavender
fsx,39,Cyan
fsy,35,Turquoise
fsz,11,Red
fta,61,Brown
ftb,22,Magenta
ftc,28,Cyan
ftd,34,Red
fte,69,Gray
ftf,54,Magenta
ftg,44,Brown
fth,63,Brown
fti,25,Blue
ftj,64,Red
ftk,26,Red
ftl,90,Blue
ftm,90,Turquoise
ftn,13,Red
fto,24,Blue
ftp,86,Lavender
ftq,87,Turquoise
ftr,76,Turquoise
fts,75,Cyan
ftt,43,White
ftu,59,Yellow
ftv,63,Lavender
ftw,45,Purple
ftx,30,Green
fty,74,Brown
ftz,35,Lavender
fua,49,Pink
fub,11,Purple
fuc,95,Magenta
fud,54,Orange
fue,6,Gray
fuf,47,Orange
fug,63,Magenta
fuh,43,Magenta
fui,5,Cyan
fuj,73,Lavender
fuk,5,Black
ful,8,Gray
fum,71,Pink
fun,16,Gray
fuo,53,Turquoise
fup,80,Orange
fuq,54,Purple
fur,55,Lavender
fus,61,White
fut,100,Brown
fuu,19,Black
fuv,62,Gray
fuw,9,Purple
fux,58,Gray
fuy,32,Pink
fuz,40,Black
fva,57,Cyan
fvb,19,Magenta
fvc,83,White
fvd,58,Red
fve,67,Cyan
fvf,86,Cyan
fvg,93,Magenta
fvh,71,Turquoise
fvi,24,Brown
fvj,26,Green
fvk,12,Lavender
fvl,96,Purple
fvm,57,Orange
fvn,41,White
fvo,97,Green
fvp,2,Turquoise
fvq,65,White
fvr,56,Gray
fvs,88,Purple
fvt,28,Brown
fvu,95,Brown
fvv,85,Blue
fvw,7,White
fvx,81,Yellow
fvy,92,Purple
fvz,39,Purple
fwa,7,Cyan
fwb,66,Orange
fwc,73,Orange
fwd,35,White
fwe,81,Gray
fwf,21,Lavender
fwg,68,Black
fwh,38,Purple
fwi,23,Purple
fwj,100,Yellow
fwk,100,Turquoise
fwl,4,Green
fwm,35,Yellow
fwn,1,Pink
fwo,83,Blue
fwp,23,Black
fwq,10,Green
fwr,78,Blue
fws,4,Magenta
fwt,90,Brown
fwu,50,Cyan
fwv,14,Gray
fww,45,Purple
fwx,35,Orange
fwy,0,Orange
fwz,61,Gray
fxa,58,Orange
fxb,50,Brown
fxc,32,Blue
fxd,70,Turquoise
fxe,41,Red
fxf,64,Green
fxg,30,Turquoise
fxh,57,Cyan
fxi,85,Orange
fxj,34,Purple
fxk,84,Magenta
fxl,81,Blue
fxm,68,Magenta
fxn,76,Pink
fxo,79,Green
fxp,57,Gray
fxq,62,Orange
fxr,16,Purple
fxs,47,Black
fxt,27,Blue
fxu,55,Gray
fxv,23,Cyan
fxw,45,Turquoise
fxx,32,Blue
fxy,39,Black
fxz,2,Purple
fya,95,Lavender
fyb,78,Magenta
fyc,10,Brown
fyd,25,White
fye,83,Gray
fyf,7,Turquoise
fyg,38,Lavender
fyh,41,Turquoise
fyi,24,Orange
fyj,14,White
fyk,59,Orange
fyl,41,Purple
fym,90,Magenta
fyn,31,Red
fyo,20,Blue
fyp,90,Pink
fyq,37,Magenta
fyr,98,Lavender
fys,23,Magenta
fyt,45,Orange
fyu,19,Orange
fyv,0,Lavender
fyw,78,Pink
fyx,47,Brown
fyy,58,Brown
fyz,5,Magenta
fza,59,Purple
fzb,100,Orange
fzc,66,Brown
fzd,61,White
fze,51,Blue
fzf,18,Turquoise
fzg,78,Red
fzh,46,Gray
fzi,71,Brown
fzj,24,Green
fzk,94,Black
fzl,32,Yellow
fzm,29,Pink
fzn,94,White
fzo,93,Gray
fzp,15,Red
fzq,12,Black
fzr,37,Pink
fzs,10,Green
fzt,93,Red
fzu,35,Red
fzv,83,Brown
fzw,84,Cyan
fzx,69,Gray
fzy,18,Blue
fzz,73,White
gaa,97,Pink
gab,18,Green
gac,26,Brown
gad,100,Orange
gae,43,Yellow
gaf,3,White
gag,15,Brown
gah,76,Cyan
gai,36,Purple
gaj,47,Magenta
gak,4,Magenta
gal,5,Gray
gam,85,Lavender
gan,82,Lavender
gao,9,Gray
gap,69,Red
gaq,92,Blue
gar,65,Green
gas,13,Turquoise
gat,94,Cyan
gau,88,Purple
gav,24,Orange
gaw,12,Blue
gax,61,Black
gay,79,Orange
gaz,62,Lavender
gba,90,Orange
gbb,7,Gray
gbc,84,Gray
gbd,5,White
gbe,24,Cyan
gbf,42,White
gbg,97,Turquoise
gbh,12,Lavender
gbi,21,Turquoise
gbj,46,White
gbk,82,Brown
gbl,18,Blue
gbm,25,Blue
gbn,13,Brown
gbo,36,Black
gbp,96,Red
gbq,57,Cyan
gbr,6,White
gbs,15,Orange
gbt,46,Blue
gbu,6,Gray
gbv,14,Green
gbw,53,Lavender
gbx,64,Blue
gby,57,Lavender
gbz,9,Brown
gca,7,Yellow
gcb,55,Purple
gcc,1,Orange
gcd,24,White
gce,36,Green
gcf,66,Purple
gcg,72,Brown
gch,79,Pink
gci,99,White
gcj,49,Magenta
gck,51,Yellow
gcl,70,Red
gcm,17,Purple
gcn,87,Gray
gco,24,Pink
gcp,92,Pink
gcq,89,White
gcr,53,Gray
gcs,85,Gray
gct,85,Cyan
gcu,10,Orange
gcv,24,Pink
gcw,35,Pink
gcx,49,Lavender
gcy,43,Turquoise
gcz,72,Yellow
gda,86,Black
gdb,48,Green
gdc,10,Blue
gdd,74,Red
gde,46,Yellow
gdf,0,Black
gdg,78,Yellow
gdh,56,Lavender
gdi,80,Purple
gdj,42,Lavender
gdk,24,Pink
gdl,100,Blue
gdm,64,Turquoise
gdn,42,Red
gdo,9,Lavender
gdp,9,White
gdq,65,Brown
gdr,41,Gray
gds,51,Magenta
gdt,20,Orange
gdu,50,White
gdv,35,Red
gdw,13,Purple
gdx,27,Red
gdy,62,Purple
gdz,67,Magenta
gea,64,Green
geb,91,Blue
gec,96,Magenta
ged,10,Orange
gee,70,Cyan
gef,20,Turquoise
geg,83,Pink
geh,52,Green
gei,58,Red
gej,51,Lavender
gek,50,Orange
gel,82,Magenta
gem,73,Lavender
gen,9,Green
geo,63,Magenta
gep,49,White
geq,90,Magenta
ger,11,Blue
ges,21,Cyan
get,28,Gray
geu,97,Magenta
gev,82,Cyan
gew,13,Blue
gex,23,Blue
gey,85,Lavender
gez,76,Purple
gfa,56,Red
gfb,75,Green
gfc,42,Magenta
gfd,40,Green
gfe,82,White
gff,81,Cyan
gfg,68,Pink
gfh,10,White
gfi,80,Turquoise
gfj,46,Magenta
gfk,4,Turquoise
gfl,57,Pink
gfm,4,Cyan
gfn,94,Magenta
gfo,50,Gray
gfp,88,Purple
gfq,90,Brown
gfr,28,Lavender
gfs,66,Orange
gft,65,Blue
gfu,46,Gray
gfv,82,Cyan
gfw,41,Pink
gfx,49,Green
gfy,74,Green
gfz,95,Brown
gga,97,Turquoise
ggb,95,Black
ggc,20,Blue
ggd,94,Gray
gge,40,White
ggf,20,Pink
ggg,76,White
ggh,29,Turquoise
ggi,43,Gray
ggj,43,Pink
ggk,85,Lavender
ggl,18,Black
ggm,53,Brown
ggn,42,Purple
ggo,76,Green
ggp,49,Black
ggq,16,Pink
ggr,28,Yellow
ggs,50,Blue
ggt,71,Gray
ggu,74,Blue
ggv,2,Brown
ggw,15,Pink
ggx,51,Orange
ggy,65,Green
ggz,84,Red
gha,25,Blue
ghb,4,Purple
ghc,37,Black
ghd,87,Red
ghe,94,Magenta
ghf,17,Red
ghg,44,Turquoise
ghh,77,White
ghi,15,Pink
ghj,43,Black
ghk,1,Magenta
ghl,33,Orange
ghm,82,Gray
ghn,61,Turquoise
gho,62,Black
ghp,12,Pink
ghq,32,Black
ghr,70,White
ghs,74,Brown
ght,51,Purple
ghu,69,Yellow
ghv,96,Pink
ghw,58,Magenta
ghx,100,Red
ghy,88,Purple
ghz,74,Gray
gia,6,Turquoise
gib,11,Purple
gic,84,Magenta
gid,88,Orange
gie,16,Brown
gif,59,Magenta
gig,71,Gray
gih,27,Gray
gii,31,Green
gij,45,Lavender
gik,94,White
gil,9,Yellow
gim,36,Lavender
gin,32,Cyan
gio,3,Yellow
gip,7,Blue
giq,44,Pink
gir,80,Blue
gis,17,Black
git,17,Gray
giu,77,Lavender
giv,18,Lavender
giw,76,Turquoise
gix,47,Lavender
giy,47,Gray
giz,51,Green
gja,40,Yellow
gjb,4,Gray
gjc,36,Purple
gjd,97,Red
gje,81,Red
gjf,81,Gray
gjg,83,Yellow
gjh,36,Pink
gji,94,Blue
gjj,38,Red
gjk,74,Green
gjl,9,Blue
gjm,79,Blue
gjn,53,Magenta
gjo,21,Green
gjp,11,Red
gjq,1,Pink
gjr,55,Lavender
gjs,71,Blue
gjt,82,White
gju,51,Gray
gjv,55,Magenta
gjw,29,Magenta
gjx,10,Gray
gjy,100,Pink
gjz,18,Brown
gka,68,Red
gkb,79,Magenta
gkc,11,Yellow
gkd,96,Pink
gke,44,Turquoise
gkf,4,Lavender
gkg,89,Yellow
gkh,47,Gray
gki,52,Orange
gkj,75,Blue
gkk,68,White
gkl,85,Turquoise
gkm,57,Cyan
gkn,24,Pink
gko,98,Blue
gkp,52,Pink
gkq,98,Blue
gkr,21,Magenta
gks,9,Orange
gkt,89,Green
gku,11,Gray
gkv,47,Gray
gkw,8,Pink
gkx,62,Orange
gky,15,Gray
gkz,32,Turquoise
gla,65,Lavender
glb,69,Lavender
glc,91,Purple
gld,10,Orange
gle,50,White
glf,50,Yellow
glg,46,Brown
glh,24,Red
gli,19,Lavender
glj,6,Red
glk,15,Pink
gll,92,Black
glm,7,Cyan
gln,20,White
glo,42,Gray
glp,94,Black
glq,49,Green
glr,30,Gray
gls,71,Blue
glt,48,Orange
glu,71,Magenta
glv,78,Magenta
glw,18,Red
glx,14,Red
gly,53,Green
glz,51,Gray
gma,56,Lavender
gmb,15,Purple
gmc,71,Gray
gmd,21,Gray
gme,73,White
gmf,94,Gray
gmg,17,Black
gmh,37,Pink
gmi,69,Yellow
gmj,10,Gray
gmk,76,Turquoise
gml,32,Magenta
gmm,9,Gray
gmn,53,Gray
gmo,24,Green
gmp,25,Pink
gmq,7,Purple
gmr,24,Cyan
gms,52,Blue
gmt,28,Lavender
gmu,91,Gray
gmv,83,Brown
gmw,33,Magenta
gmx,7,Green
gmy,62,Purple
gmz,76,Turquoise
gna,91,Cyan
gnb,9,Purple
gnc,34,Magenta
gnd,73,Brown
gne,36,Pink
gnf,57,Magenta
gng,49,Green
gnh,84,Gray
gni,31,Black
gnj,49,Green
gnk,72,Yellow
gnl,22,Red
gnm,69,Purple
gnn,80,Lavender
gno,83,Red
gnp,78,Green
gnq,87,Brown
gnr,16,Blue
gns,17,Gray
gnt,59,Pink
gnu,23,Blue
gnv,76,White
gnw,14,Lavender
gnx,71,Orange
gny,95,Blue
gnz,13,Lavender
goa,35,Orange
gob,26,Black
goc,34,Gray
god,49,Green
goe,75,Red
gof,1,Blue
gog,99,Magenta
goh,97,Gray
goi,84,Yellow
goj,87,Magenta
gok,48,Blue
gol,65,Brown
gom,35,Pink
gon,38,Blue
goo,78,Orange
gop,42,Purple
goq,7,Magenta
gor,73,Purple
gos,42,Yellow
got,90,Pink
gou,43,Pink
gov,32,Lavender
gow,79,Yellow
gox,63,Orange
goy,89,Green
goz,43,Gray
gpa,10,Purple
gpb,76,Brown
gpc,9,Red
gpd,4,Pink
gpe,29,Red
gpf,98,Lavender
gpg,6,Brown
gph,32,Cyan
gpi,0,Purple
gpj,26,Red
gpk,35,Yellow
gpl,25,Pink
gpm,52,Yellow
gpn,73,Orange
gpo,17,Pink
gpp,76,Purple
gpq,42,Purple
gpr,29,Black
gps,96,Cyan
gpt,6,Yellow
gpu,11,Green
gpv,72,Lavender
gpw,77,Yellow
gpx,87,Brown
gpy,50,Cyan
gpz,4,Red
gqa,11,Cyan
gqb,53,Green
gqc,18,Green
gqd,63,Magenta
gqe,14,White
gqf,84,Yellow
gqg,54,Magenta
gqh,30,Pink
gqi,41,Red
gqj,54,Pink
gqk,27,Brown
gql,38,Lavender
gqm,20,Red
gqn,22,Cyan
gqo,69,Brown
gqp,35,Black
gqq,81,Turquoise
gqr,35,Cyan
gqs,2,Yellow
gqt,9,Turquoise
gqu,50,Brown
gqv,9,Purple
gqw,3,Black
gqx,23,Lavender
gqy,16,Green
gqz,0,Yellow
gra,96,Green
grb,83,Black
grc,36,Magenta
grd,92,Lavender
gre,54,Red
grf,29,Lavender
grg,74,Cyan
grh,23,Purple
gri,48,Turquoise
grj,57,Green
grk,2,Orange
grl,45,Red
grm,23,Turquoise
grn,97,Black
gro,94,Cyan
grp,59,Black
grq,77,Brown
grr,21,Cyan
grs,37,Cyan
grt,22,Magenta
gru,36,Green
grv,97,Lavender
grw,66,Turquoise
grx,12,Black
gry,55,Lavender
grz,72,White
gsa,10,Magenta
gsb,20,Black
gsc,21,Lavender
gsd,85,Cyan
gse,6,Pink
gsf,99,Orange
gsg,91,Red
gsh,41,Turquoise
gsi,78,Pink
gsj,87,Cyan
gsk,91,Red
gsl,48,Gray
gsm,20,Orange
gsn,51,Blue
gso,21,Black
gsp,93,Red
gsq,87,White
gsr,42,Magenta
gss,13,Purple
gst,57,Turquoise
gsu,44,Orange
gsv,28,Green
gsw,17,Purple
gsx,22,Gray
gsy,68,Gray
gsz,25,Gray
gta,75,Purple
gtb,18,Red
gtc,5,Turquoise
gtd,93,Gray
gte,88,Pink
gtf,76,Turquoise
gtg,60,Lavender
gth,16,Red
gti,80,White
gtj,92,Magenta
gtk,2,Blue
gtl,4,Purple
gtm,49,Orange
gtn,90,Turquoise
gto,85,Lavender
gtp,61,Red
gtq,58,Red
gtr,57,Green
gts,96,Purple
gtt,64,Yellow
gtu,13,Orange
gtv,93,Green
gtw,81,Cyan
gtx,12,Orange
gty,93,Red
gtz,79,Black
gua,45,Magenta
gub,87,Brown
guc,85,Black
gud,87,Black
gue,26,Red
guf,34,Red
gug,48,Turquoise
guh,61,Black
gui,2,Yellow
guj,20,Brown
guk,69,Purple
gul,98,Purple
gum,16,Turquoise
gun,73,Red
guo,9,Yellow
gup,37,Magenta
guq,68,White
gur,67,Purple
gus,56,Magenta
gut,44,Lavender
guu,59,Magenta
guv,48,Turquoise
guw,83,Lavender
gux,27,Lavender
guy,94,Blue
guz,56,Pink
gva,13,Pink
gvb,26,Magenta
gvc,66,Purple
gvd,67,Turquoise
gve,99,Lavender
gvf,81,Purple
gvg,41,Cyan
gvh,55,Pink
gvi,48,Orange
gvj,90,Gray
gvk,56,Cyan
gvl,8,Purple
gvm,40,Pink
gvn,75,Red
gvo,59,Blue
gvp,13,Pink
gvq,98,White
gvr,18,Turquoise
gvs,95,Black
gvt,78,Pink
gvu,49,Magenta
gvv,26,Cyan
gvw,72,Turquoise
gvx,59,Purple
gvy,88,Magenta
gvz,9,Cyan
gwa,45,Yellow
gwb,19,Cyan
gwc,57,Cyan
gwd,99,Orange
gwe,74,Purple
gwf,31,Pink
gwg,16,White
gwh,16,Lavender
gwi,79,Purple
gwj,9,Purple
gwk,18,Red
gwl,62,Brown
gwm,58,Magenta
gwn,10,Cyan
gwo,23,Magenta
gwp,17,Turquoise
gwq,58,Blue
gwr,97,Brown
gws,73,Cyan
gwt,42,Gray
gwu,28,Lavender
gwv,83,Gray
gww,28,Pink
gwx,51,Pink
gwy,75,Brown
gwz,56,Black
gxa,85,Yellow
gxb,75,Blue
gxc,43,Green
gxd,98,Orange
gxe,82,Blue
gxf,90,Orange
gxg,46,Turquoise
gxh,21,Blue
gxi,11,Red
gxj,68,Green
gxk,33,Gray
gxl,25,Purple
gxm,55,Magenta
gxn,27,Gray
gxo,65,Red
gxp,78,Black
gxq,28,White
gxr,21,Black
gxs,70,Magenta
gxt,55,Red
gxu,39,Magenta
gxv,59,Green
gxw,2,Black
gxx,21,Cyan
gxy,23,Magenta
gxz,53,Purple
gya,83,Cyan
gyb,6,Cyan
gyc,90,Green
gyd,30,Green
gye,92,Cyan
gyf,16,Magenta
gyg,46,Red
gyh,20,Pink
gyi,75,Turquoise
gyj,98,Orange
gyk,20,Purple
gyl,86,Blue
gym,18,Gray
